chr	coord1	coord2	coord3	coord4	strand	type
chr6	52452837	52454062	52452837	52454095	+	AltA
chr11	208938	209175	208938	209259	+	AltA
chr1	75724817	75728389	75724817	75728401	+	AltA
chr11	124799871	124774974	124799871	124774831	-	AltA
chr17	30608562	30610889	30608562	30610894	+	AltA
chr3	195688797	195699030	195688797	195699098	+	AltA
chr1	40040801	40059334	40040801	40059337	+	AltA
chr10	95842494	95844476	95842494	95844555	+	AltA
chr11	56140173	56138497	56140173	56137738	-	AltA
chr11	64193287	64194189	64193287	64194261	+	AltA
chr2	109819783	109821905	109819783	109822050	+	AltA
chr7	35890793	35898215	35890793	35898248	+	AltA
chr11	65380534	65380234	65380534	65380175	-	AltA
chr17	36211890	36212303	36211890	36212334	+	AltA
chr12	53442733	53443391	53442733	53443487	+	AltA
chr8	141128809	141136509	141128809	141136558	+	AltA
chr7	129368551	129379638	129368551	129379641	+	AltA
chr18	46104137	46095131	46104137	46095123	-	AltA
chr12	56433026	56432524	56433026	56432521	-	AltA
chr14	102339223	102341323	102339223	102342103	+	AltA
chr1	3244137	3385149	3244137	3385152	+	AltA
chr19	39390818	39390289	39390818	39390161	-	AltA
chr19	14562575	14563174	14562575	14563206	+	AltA
chr19	18539371	18538436	18539371	18538433	-	AltA
chrX	93674274	93674681	93674274	93674701	+	AltA
chr12	120103826	120099154	120103826	120099106	-	AltA
chr3	37416724	37434844	37416724	37434941	+	AltA
chr10	100261979	100261044	100261979	100261028	-	AltA
chr9	111643094	111647045	111643094	111647107	+	AltA
chr19	2269744	2271385	2269744	2271782	+	AltA
chr17	5034861	5034747	5034861	5034713	-	AltA
chr9	38575476	38573129	38575476	38572059	-	AltA
chr4	48150863	48149690	48150863	48149685	-	AltA
chr7	92578150	92577717	92578150	92577676	-	AltA
chr4	139378854	139384832	139378854	139384835	+	AltA
chr2	27236523	27236728	27236523	27236749	+	AltA
chr5	132227086	132218668	132227086	132218644	-	AltA
chr6	43026141	43027130	43026141	43027178	+	AltA
chr22	17219356	17209723	17219356	17209690	-	AltA
chr1	33569374	33567841	33569374	33567766	-	AltA
chr19	46727894	46727691	46727894	46727546	-	AltA
chr12	6919763	6921497	6919763	6921581	+	AltA
chr17	41918880	41913900	41918880	41913896	-	AltA
chr9	127874611	127873180	127874611	127873061	-	AltA
chr7	107594105	107595867	107594105	107595869	+	AltA
chr5	179821141	179822889	179821141	179823026	+	AltA
chr3	132694827	132693865	132694827	132692818	-	AltA
chr2	96285180	96284585	96285180	96284521	-	AltA
chr19	58306216	58312028	58306216	58312166	+	AltA
chr1	33092222	33093245	33092222	33093282	+	AltA
chr16	67371242	67375247	67371242	67375258	+	AltA
chr20	35713019	35709309	35713019	35709256	-	AltA
chr14	100375283	100374265	100375283	100374149	-	AltA
chr21	44230054	44229044	44230054	44223078	-	AltA
chr15	75359620	75359438	75359620	75359425	-	AltA
chr12	57512103	57512236	57512103	57512303	+	AltA
chr7	76463709	76476943	76463709	76477114	+	AltA
chr8	30082847	30074051	30082847	30074028	-	AltA
chr22	30326673	30304651	30326673	30304630	-	AltA
chr9	26997728	26996499	26997728	26996365	-	AltA
chr8	142575803	142575467	142575803	142575463	-	AltA
chr19	49496471	49497173	49496471	49497194	+	AltA
chr15	65607302	65605236	65607302	65605232	-	AltA
chr12	81282794	81292343	81282794	81292394	+	AltA
chr22	50531570	50531341	50531570	50531295	-	AltA
chr8	123179137	123179654	123179137	123179764	+	AltA
chr2	130345699	130345779	130345699	130346018	+	AltA
chr16	20326338	20324256	20326338	20324061	-	AltA
chr1	148424678	148425350	148424678	148425506	+	AltA
chr22	46346544	46350291	46346544	46350350	+	AltA
chr16	28836122	28836728	28836122	28836748	+	AltA
chr17	75497862	75498175	75497862	75498262	+	AltA
chr11	101051424	101050059	101051424	101050007	-	AltA
chr17	81683013	81682675	81683013	81682149	-	AltA
chr9	98872189	98869513	98872189	98869417	-	AltA
chr2	224806126	224805529	224806126	224805502	-	AltA
chr9	129061346	129063173	129061346	129063244	+	AltA
chr6	135196002	135196726	135196002	135196961	+	AltA
chr15	90911238	90911385	90911238	90911416	+	AltA
chr18	50809302	50806850	50809302	50806786	-	AltA
chr5	142012995	142012377	142012995	142012339	-	AltA
chr10	59254348	59252998	59254348	59252995	-	AltA
chr1	67182959	67200737	67182959	67200742	+	AltA
chr16	30759654	30759557	30759654	30759458	-	AltA
chr11	63999331	63999036	63999331	63999000	-	AltA
chr6	29284871	29290063	29284871	29290168	+	AltA
chr19	1067495	1068333	1067495	1068414	+	AltA
chr5	140562100	140561995	140562100	140561849	-	AltA
chr16	30023404	30023647	30023404	30023727	+	AltA
chr5	1880725	1879870	1880725	1879832	-	AltA
chr16	57447342	57441010	57447342	57440959	-	AltA
chrX	77696577	77688927	77696577	77688924	-	AltA
chr15	63189748	63223042	63223073	63223848	+	ES
chr12	95532829	95529002	95528807	95524788	-	ES
chr17	81385129	81381940	81381877	81380584	-	ES
chr6	163190908	163187850	163187673	163184918	-	ES
chr6	101682606	101686180	101686353	101799648	+	ES
chr8	30696380	30689319	30689161	30684199	-	ES
chr16	80543351	80549484	80549651	80550515	+	ES
chr8	73009205	73013895	73013990	73020684	+	ES
chr9	98872189	98849141	98848928	98847491	-	ES
chr11	47176782	47176634	47176516	47175923	-	ES
chr19	11738817	11725327	11725201	11723342	-	ES
chr21	37088886	37090233	37090286	37091293	+	ES
chr8	144523333	144523636	144524105	144524261	+	ES
chr19	19033930	19037552	19037707	19042711	+	ES
chr12	39683484	39684121	39684312	39684867	+	ES
chr1	236735720	236736558	236736668	236737122	+	ES
chr1	26773898	26774116	26774203	26774329	+	ES
chr7	104736911	104845382	104845429	104906187	+	ES
chr17	6641834	6642249	6642324	6642951	+	ES
chr17	7308113	7308481	7308575	7309615	+	ES
chr5	179853378	179853276	179853197	179851424	-	ES
chr16	72164764	72164486	72164371	72154459	-	ES
chr13	45702465	45702775	45702855	45713182	+	ES
chr19	32858440	32843951	32843855	32842317	-	ES
chr19	51001098	51000718	51000424	51000258	-	ES
chr5	55160396	55160994	55161255	55164055	+	ES
chr15	52593578	52587219	52587151	52584944	-	ES
chr19	21082348	21083978	21084069	21098185	+	ES
chr11	46617890	46618260	46618375	46621042	+	ES
chr17	17893661	17884768	17884634	17882863	-	ES
chr3	56559594	56561257	56561378	56563684	+	ES
chr8	43182260	43182349	43182415	43191474	+	ES
chr19	38387761	38387014	38385647	38385500	-	ES
chr2	6626137	6625127	6625029	6618315	-	ES
chr2	232551218	232553855	232553887	232556416	+	ES
chr11	18396968	18398798	18398988	18399431	+	ES
chr1	109494287	109494520	109494623	109495143	+	ES
chr2	70083507	70059680	70059643	70051305	-	ES
chr11	131911648	132146282	132146514	132212022	+	ES
chr6	17284711	17285053	17285165	17291756	+	ES
chr4	158617205	158626820	158626891	158628638	+	ES
chr16	51151166	51142145	51138688	51137552	-	ES
chr12	51383461	51382509	51382313	51379884	-	ES
chr4	185734099	185684846	185684754	185678822	-	ES
chr2	34677927	34710452	34710513	34713579	+	ES
chr2	70059643	70053792	70053731	70051305	-	ES
chr20	41272139	41269485	41269411	41269083	-	ES
chr18	49492275	49491833	49491736	49491584	-	ES
chr7	44986525	44986097	44986021	44984046	-	ES
chr2	74211291	74211741	74211866	74214079	+	ES
chr17	41810863	41809834	41809706	41808004	-	ES
chr1	10161286	10166244	10166342	10168136	+	ES
chr12	100207786	100208772	100208889	100210073	+	ES
chr4	27017984	27021494	27021612	27022519	+	ES
chr8	109644636	109642932	109642728	109619039	-	ES
chr15	77018531	77023570	77023667	77025284	+	ES
chr2	38746694	38746179	38746144	38745187	-	ES
chr22	29838178	29834550	29834489	29832342	-	ES
chr12	133131014	133144434	133144525	133151028	+	ES
chr21	10542448	10543329	10543382	10552657	+	ES
chr14	101560252	101560025	101559800	101558834	-	ES
chr2	40210024	40250299	40250509	40251684	+	ES
chr1	10105744	10106197	10106583	10117459	+	ES
chr1	33611041	33605988	33605863	33605470	-	ES
chr12	7210242	7212772	7212871	7218402	+	ES
chr3	23916784	23911446	23911329	23910921	-	ES
chr17	35116859	35107447	35107366	35107122	-	ES
chr15	57618188	57621608	57621700	57625779	+	ES
chr18	49492258	49491833	49491736	49491584	-	ES
chr12	18736221	18723542	18723311	18719632	-	ES
chrX	41347451	41357833	41357939	41364274	+	ES
chr9	36581739	36589536	36589652	36594628	+	ES
chr2	262631	260702	260085	253115	-	ES
chr8	16143558	16120606	16120418	16110218	-	ES
chr3	48420665	48420257	48420224	48419674	-	ES
chr6	158158273	158155351	158155315	158150589	-	ES
chr11	45945840	45938312	45938157	45936569	-	ES
chr19	56197734	56193179	56193120	56193054	-	ES
chr12	130798525	130796120	130795995	130791977	-	ES
chr5	56971633	56959520	56959386	56950652	-	ES
chr3	179244495	179243284	179242809	179240064	-	ES
chr14	52707304	52708483	52708522	52708764	+	ES
chr4	127965897	127965222	127965072	127957592	-	ES
chr10	13648768	13652408	13652489	13654353	+	ES
chr15	73926240	73925505	73925270	73920038	-	ES
chr2	218292466	218284266	218284039	218282181	-	ES
chr3	167298305	167288983	167288867	167282495	-	ES
chr6	30557450	30561328	30561508	30561834	+	ES
chr15	34227846	34228429	34228589	34229753	+	ES
chr2	60770511	60771519	60771630	60775034	+	ES
chrX	100633405	100632568	100632485	100630866	-	ES
chr5	73006549	73015626	73015724	73017212	+	ES
chr11	2992229	2990992	2990909	2989197	-	ES
chr16	57041574	57041982	57042065	57043515	+	ES
chr17	55411257	55407820	55407746	55403868	-	ES
chr8	86515499	86521604	86521714	86528536	+	ES
chr1	48451552	48413151	48413110	48411588	-	ES
chr10	38195643	38197500	38197551	38199292	+	ES
chr2	237994809	238016566	238016633	238030556	+	ES
chr12	55974139	55979372	55979474	55986869	+	ES
chr11	67434057	67434198	NA	NA	+	IR
chr19	36013328	36013089	NA	NA	-	IR
chr19	49556875	49556736	NA	NA	-	IR
chr3	132579492	132578881	NA	NA	-	IR
chr7	5528281	5528185	NA	NA	-	IR
chr17	7313212	7313097	NA	NA	-	IR
chr22	38086390	38086347	NA	NA	-	IR
chr4	70826124	70825431	NA	NA	-	IR
chr5	133096145	133096151	NA	NA	+	IR
chr19	35166171	35166251	NA	NA	+	IR
chr11	62854018	62853849	NA	NA	-	IR
chr6	37022370	37025792	NA	NA	+	IR
chr1	145856773	145856667	NA	NA	-	IR
chr19	7698741	7698409	NA	NA	-	IR
chr12	57477459	57477269	NA	NA	-	IR
chr2	96694632	96695509	NA	NA	+	IR
chr17	17992911	17994299	NA	NA	+	IR
chr11	2316312	2316576	NA	NA	+	IR
chr15	23441518	23439866	NA	NA	-	IR
chr12	120579774	120579597	NA	NA	-	IR
chr10	133464930	133465106	NA	NA	+	IR
chr18	77016914	77016846	NA	NA	-	IR
chr9	34647705	34647832	NA	NA	+	IR
chr1	247454953	247453083	NA	NA	-	IR
chr7	44975174	44972274	NA	NA	-	IR
chr7	75415778	75415981	NA	NA	+	IR
chr9	1051661	1052130	NA	NA	+	IR
chr12	55940170	55940252	NA	NA	+	IR
chr12	30716508	30715141	NA	NA	-	IR
chrX	156022459	156022699	NA	NA	+	IR
chr12	54856808	54856839	NA	NA	+	IR
chr17	7230728	7230430	NA	NA	-	IR
chr6	30103472	30103245	NA	NA	-	IR
chr17	44189091	44189207	NA	NA	+	IR
chr16	31110499	31111091	NA	NA	+	IR
chr6	31589975	31589899	NA	NA	-	IR
chr20	47659697	47659452	NA	NA	-	IR
chr19	13116187	13116052	NA	NA	-	IR
chr14	24331018	24330018	NA	NA	-	IR
chr15	90948283	90948654	NA	NA	+	IR
chr8	143574986	143574900	NA	NA	-	IR
chr12	49330573	49330661	NA	NA	+	IR
chrX	10208181	10208275	NA	NA	+	IR
chr19	18993638	18991149	NA	NA	-	IR
chr19	6475706	6475585	NA	NA	-	IR
chr17	44345334	44345531	NA	NA	+	IR
chr6	110892443	110892735	NA	NA	+	IR
chr1	33082354	33083018	NA	NA	+	IR
chr2	219296226	219295028	NA	NA	-	IR
chr1	45014070	45014736	NA	NA	+	IR
chr16	28937523	28937624	NA	NA	+	IR
chr11	62761904	62762542	NA	NA	+	IR
chr10	48804	48725	NA	NA	-	IR
chr15	41507562	41507290	NA	NA	-	IR
chr17	58520998	58520789	NA	NA	-	IR
chr12	111841684	111841470	NA	NA	-	IR
chr4	86101052	86098595	NA	NA	-	IR
chr1	228145624	228146026	NA	NA	+	IR
chr19	58480619	58480704	NA	NA	+	IR
chr17	44910615	44910260	NA	NA	-	IR
chr3	195708268	195708429	NA	NA	+	IR
chr6	31689015	31688786	NA	NA	-	IR
chr19	7647247	7647354	NA	NA	+	IR
chr11	64792172	64792086	NA	NA	-	IR
chr19	18438093	18437988	NA	NA	-	IR
chr8	42319421	42320735	NA	NA	+	IR
chr11	125678229	125678063	NA	NA	-	IR
chr19	6361940	6362446	NA	NA	+	IR
chr14	24266776	24266517	NA	NA	-	IR
chr11	2167866	2167516	NA	NA	-	IR
chr19	15696225	15696430	NA	NA	+	IR
chr1	173864675	173864506	NA	NA	-	IR
chr19	41382921	41383715	NA	NA	+	IR
chrX	147911378	147910995	NA	NA	-	IR
chr19	17339026	17339123	NA	NA	+	IR
chr8	144083500	144083714	NA	NA	+	IR
chr3	49103631	49103431	NA	NA	-	IR
chr7	155738403	155739715	NA	NA	+	IR
chr7	44074131	44074025	NA	NA	-	IR
chr17	74772218	74772054	NA	NA	-	IR
chr2	241235490	241235275	NA	NA	-	IR
chr10	133464911	133465106	NA	NA	+	IR
chr11	62677518	62677005	NA	NA	-	IR
chr18	50286022	50285928	NA	NA	-	IR
chr12	6841344	6841586	NA	NA	+	IR
chr16	28477464	28477359	NA	NA	-	IR
chr1	112698789	112699685	NA	NA	+	IR
chr17	44321434	44321231	NA	NA	-	IR
chr3	68988925	68988577	NA	NA	-	IR
chr18	11886713	11886621	NA	NA	-	IR
chr17	45396487	45396284	NA	NA	-	IR
chr8	144357439	144357121	NA	NA	-	IR
chr7	149826577	149826913	NA	NA	+	IR
chr12	48771710	48770970	NA	NA	-	IR
chr15	74461418	74461883	NA	NA	+	IR
chr11	66599253	66599459	NA	NA	+	IR
chr5	131672686	131672661	NA	NA	-	IR
chr7	142751806	142751837	NA	NA	+	IR
chr10	133401590	133402149	NA	NA	+	IR
chr19	18574972	18575057	NA	NA	+	IR
