chr	coord1	coord2	coord3	coord4	strand	type
Chr10	11693241	11693161	11693241	11693147	-	AltA
Chr4	33973565	33973426	33973565	33973420	-	AltA
Chr2	10387234	10388161	10387234	10388210	+	AltA
Chr2	26982709	26982636	26982709	26982631	-	AltA
Chr8	11551804	11550667	11551804	11550253	-	AltA
Chr2	23831222	23829765	23831222	23829762	-	AltA
Chr7	8163403	8162245	8163403	8162200	-	AltA
Chr2	33126283	33126138	33126283	33126135	-	AltA
Chr4	5846356	5847387	5846356	5847417	+	AltA
Chr3	3423203	3423288	3423203	3423299	+	AltA
Chr3	4218199	4218066	4218199	4218053	-	AltA
Chr2	28791255	28791177	28791255	28790007	-	AltA
Chr5	22035486	22035394	22035486	22035361	-	AltA
Chr2	5040865	5040774	5040865	5040735	-	AltA
Chr4	11324109	11323658	11324109	11321776	-	AltA
Chr4	20484346	20484435	20484346	20484581	+	AltA
Chr4	34840515	34840597	34840515	34840602	+	AltA
Chr2	2667369	2667704	2667369	2667707	+	AltA
Chr3	3501780	3501546	3501780	3501528	-	AltA
Chr1	32585951	32585143	32585951	32584930	-	AltA
Chr7	25565084	25565172	25565084	25565295	+	AltA
Chr2	29467606	29467717	29467606	29467722	+	AltA
Chr8	13756071	13753839	13756071	13753824	-	AltA
Chr5	2779515	2779430	2779515	2778885	-	AltA
Chr1	30598116	30598044	30598116	30598025	-	AltA
Chr2	24196342	24197158	24196342	24197161	+	AltA
Chr1	5560589	5560435	5560589	5560431	-	AltA
Chr2	5061852	5061286	5061852	5061281	-	AltA
Chr1	31920828	31920937	31920828	31920940	+	AltA
Chr1	31972023	31972535	31972023	31972538	+	AltA
Chr8	18089814	18090399	18089814	18090899	+	AltA
Chr8	4551220	4556815	4551220	4556819	+	AltA
Chr11	10357498	10355859	10357498	10355704	-	AltA
Chr1	39845571	39845696	39845571	39845702	+	AltA
Chr10	67396	67556	67396	67559	+	AltA
Chr2	21047773	21047323	21047773	21047285	-	AltA
Chr8	17219765	17219236	17219765	17219211	-	AltA
Chr7	29585002	29584912	29585002	29584907	-	AltA
Chr8	11986674	11986166	11986674	11985185	-	AltA
Chr2	35090516	35090382	35090516	35090379	-	AltA
Chr3	16995308	16995449	16995308	16995715	+	AltA
Chr1	30924043	30923988	30924043	30923969	-	AltA
Chr7	15751260	15753866	15751260	15753889	+	AltA
Chr6	4440934	4441040	4440934	4441674	+	AltA
Chr4	23716680	23716524	23716680	23716397	-	AltA
Chr7	28593005	28592808	28593005	28592627	-	AltA
Chr7	15916173	15916308	15916173	15916313	+	AltA
Chr11	28899655	28899569	28899655	28899530	-	AltA
Chr4	28863045	28864919	28863045	28864925	+	AltA
Chr1	37313983	37312891	37313983	37312476	-	AltA
Chr7	8081407	8081321	8081407	8081310	-	AltA
Chr5	3658228	3657875	3658228	3657870	-	AltA
Chr2	25954753	25954627	25954753	25954031	-	AltA
Chr9	7168918	7169044	7168918	7169050	+	AltA
Chr3	32534941	32535026	32534941	32535052	+	AltA
Chr2	21418338	21419834	21418338	21419852	+	AltA
Chr9	19016535	19016420	19016535	19016415	-	AltA
Chr2	3081122	3081946	3081122	3081989	+	AltA
Chr2	30754569	30754402	30754569	30754397	-	AltA
Chr2	34917733	34917642	34917733	34917638	-	AltA
Chr8	16342570	16342486	16342570	16342468	-	AltA
Chr12	24032598	24033184	24032598	24033197	+	AltA
Chr9	12834278	12834346	12834278	12834354	+	AltA
Chr9	18225058	18224902	18225058	18224845	-	AltA
Chr6	4589724	4589643	4589724	4589627	-	AltA
Chr3	11695788	11695869	11695788	11695873	+	AltA
Chr1	197838	197915	197838	198034	+	AltA
Chr5	22967983	22968695	22967983	22968736	+	AltA
Chr3	13218658	13219221	13218658	13219723	+	AltA
Chr9	18229444	18229304	18229444	18228988	-	AltA
Chr4	19379904	19380004	19379904	19380007	+	AltA
Chr1	27174706	27175557	27174706	27175868	+	AltA
Chr11	21487741	21487819	21487741	21487833	+	AltA
Chr2	33650803	33650713	33650803	33650710	-	AltA
Chr5	25344921	25345234	25344921	25345320	+	AltA
Chr9	10763421	10763581	10763421	10763584	+	AltA
Chr1	3988190	3989017	3988190	3989022	+	AltA
Chr9	20160941	20160291	20160941	20159811	-	AltA
Chr3	35540234	35540125	35540234	35538749	-	AltA
Chr5	26293819	26294177	26293819	26294195	+	AltA
Chr3	4565844	4565948	4565844	4565952	+	AltA
Chr3	10687840	10687922	10687840	10687931	+	AltA
Chr1	16233693	16233789	16233693	16234057	+	AltA
Chr1	40128785	40129017	40128785	40129225	+	AltA
Chr11	22311145	22315223	22311145	22315252	+	AltA
Chr6	24870433	24870762	24870433	24870800	+	AltA
Chr4	34631159	34630685	34631159	34630634	-	AltA
Chr7	19921982	19922328	19922401	19923411	+	ES
Chr6	30912803	30910300	30910221	30910172	-	ES
Chr6	6157822	6158259	6158534	6159056	+	ES
Chr3	33396873	33395976	33395739	33394663	-	ES
Chr8	1284775	1284695	1284560	1284463	-	ES
Chr5	26818640	26818495	26818369	26817228	-	ES
Chr9	2397555	2397296	2397115	2397017	-	ES
Chr12	23108944	23109512	23109615	23109793	+	ES
Chr1	38154326	38154545	38154634	38155234	+	ES
Chr2	34433955	34433850	34433769	34433603	-	ES
Chr1	6779144	6777861	6777762	6776927	-	ES
Chr8	12267802	12268774	12269056	12269142	+	ES
Chr11	4681555	4681645	4682035	4682177	+	ES
Chr4	23827266	23827582	23827715	23828216	+	ES
Chr3	27138521	27137915	27136146	27135588	-	ES
Chr1	32475180	32475459	32476018	32476131	+	ES
Chr12	25330864	25333636	25333723	25334250	+	ES
Chr2	29718353	29717274	29717126	29716049	-	ES
Chr9	2397555	2397296	2397164	2397017	-	ES
Chr7	29617060	29617156	29617185	29617279	+	ES
Chr4	9352975	9354846	9354908	9356049	+	ES
Chr1	7092288	7092687	7092801	7092938	+	ES
Chr1	38970268	38970455	38970624	38976041	+	ES
Chr2	119441	119629	119733	119842	+	ES
Chr2	15872292	15872793	15873202	15873931	+	ES
Chr5	183002	182871	182866	182739	-	ES
Chr12	9556913	9557074	9557202	9557864	+	ES
Chr4	835812	835890	835946	837068	+	ES
Chr6	6491399	6490509	6490459	6490386	-	ES
Chr10	14102285	14102891	14102968	14103360	+	ES
Chr2	856891	856707	856560	855315	-	ES
Chr8	27373597	27373664	27373696	27374273	+	ES
Chr9	16060294	16062015	16062153	16063655	+	ES
Chr1	20308694	20307459	20307343	20307145	-	ES
Chr3	2161649	2161501	2161290	2161202	-	ES
Chr8	228413	228560	228761	228920	+	ES
Chr11	20063664	20063730	20063881	20063977	+	ES
Chr3	27998226	27998361	27998404	28000798	+	ES
Chr5	20316887	20316671	20316533	20316173	-	ES
Chr8	26601628	26603169	26603214	26603350	+	ES
Chr9	21201612	21201192	21200506	21200425	-	ES
Chr3	24450837	24451235	24451472	24451996	+	ES
Chr1	37583420	37583525	37583538	37583683	+	ES
Chr9	22273082	22273624	22273828	22273996	+	ES
Chr2	34360075	34359979	34359883	34359186	-	ES
Chr3	14753009	14752749	14752641	14752445	-	ES
Chr12	1252897	1252598	1252542	1252439	-	ES
Chr3	33141056	33140990	33140811	33140144	-	ES
Chr1	11112257	11111355	11111297	11110459	-	ES
Chr7	27985678	27984983	27984768	27984283	-	ES
Chr8	26509477	26509894	26509994	26510659	+	ES
Chr3	10236814	10236352	10236307	10235841	-	ES
Chr7	18590799	18591483	18591589	18592085	+	ES
Chr2	2112133	2111883	2111803	2111579	-	ES
Chr2	13183009	13182313	13182229	13182092	-	ES
Chr3	19528546	19528994	19529036	19529395	+	ES
Chr1	16053828	16054513	16054698	16054836	+	ES
Chr2	6791492	6792694	6792778	6793163	+	ES
Chr6	30905438	30904156	30904107	30903222	-	ES
Chr3	23383762	23383283	23383168	23382917	-	ES
Chr5	12294353	12294956	12295078	12295597	+	ES
Chr11	21289284	21288881	21288554	21288431	-	ES
Chr11	7121783	7122664	7122931	7123014	+	ES
Chr5	26698106	26698228	26698395	26698554	+	ES
Chr10	21315208	21314595	21314368	21313331	-	ES
Chr9	2367097	2366998	2366901	2365936	-	ES
Chr11	5683695	5683569	5683475	5682748	-	ES
Chr4	32228540	32230769	32230870	32231071	+	ES
Chr11	20382017	20382157	20383436	20383526	+	ES
Chr1	13456007	13456168	13456282	13457720	+	ES
Chr3	8101516	8099487	8099395	8096948	-	ES
Chr5	19365659	19365280	19365229	19364818	-	ES
Chr2	6511334	6510383	6510277	6509384	-	ES
Chr2	25694076	25694238	25694583	25694675	+	ES
Chr10	23107882	23107959	23108490	23108997	+	ES
Chr2	25389484	25388739	25388648	25388493	-	ES
Chr1	13345066	13344967	13344678	13344233	-	ES
Chr1	17607334	17607827	17607880	17608033	+	ES
Chr10	10994815	10994727	10994432	10993511	-	ES
Chr1	17428368	17425389	17425083	17424572	-	ES
Chr1	42153291	42153409	42153577	42153878	+	ES
Chr8	10100034	10101377	10101446	10101530	+	ES
Chr8	1285358	1285012	1284951	1284866	-	ES
Chr12	1109529	1109741	1109812	1110081	+	ES
Chr7	12426708	12428460	12428567	12428969	+	ES
Chr12	9537068	9537144	9537275	9537371	+	ES
Chr2	2844623	2844745	2844871	2846284	+	ES
Chr1	29670064	29668999	29668772	29668574	-	ES
Chr2	31474833	31475492	31475557	31475889	+	ES
Chr3	25521558	25521039	25520977	25520894	-	ES
Chr5	6360148	6360027	6359965	6359876	-	ES
Chr3	5090134	5089255	5089201	5088363	-	ES
Chr9	22797000	22796656	22796551	22794520	-	ES
Chr4	7351754	7353107	7353141	7353219	+	ES
Chr9	19979604	19981216	19981407	19981922	+	ES
Chr7	16951883	16953428	16953589	16954001	+	ES
Chr3	24593908	24593984	24594088	24594160	+	ES
Chr9	1888471	1888344	1888168	1888064	-	ES
Chr8	11873297	11872573	11872220	11872128	-	ES
Chr1	5677360	5676849	5676740	5676277	-	ES
Chr2	35180287	35180192	NA	NA	-	IR
Chr10	21908976	21909333	NA	NA	+	IR
Chr8	18102174	18102271	NA	NA	+	IR
Chr6	4595805	4595700	NA	NA	-	IR
Chr2	28644342	28644665	NA	NA	+	IR
Chr3	1270788	1270983	NA	NA	+	IR
Chr4	23322942	23322164	NA	NA	-	IR
Chr12	22531265	22531196	NA	NA	-	IR
Chr9	14556241	14556312	NA	NA	+	IR
Chr9	19407914	19407821	NA	NA	-	IR
Chr6	2776394	2776290	NA	NA	-	IR
Chr2	27085003	27084909	NA	NA	-	IR
Chr3	32036712	32036619	NA	NA	-	IR
Chr6	17276123	17276334	NA	NA	+	IR
Chr1	23091912	23092246	NA	NA	+	IR
Chr3	35563517	35563441	NA	NA	-	IR
Chr3	30812393	30812283	NA	NA	-	IR
Chr10	2187328	2188160	NA	NA	+	IR
Chr1	10348427	10347488	NA	NA	-	IR
Chr11	19453102	19452783	NA	NA	-	IR
Chr5	25715897	25716130	NA	NA	+	IR
Chr9	5879448	5879556	NA	NA	+	IR
Chr5	20581987	20581295	NA	NA	-	IR
Chr1	24462711	24462785	NA	NA	+	IR
Chr5	26558309	26558400	NA	NA	+	IR
Chr6	30581222	30581319	NA	NA	+	IR
Chr7	28858112	28858192	NA	NA	+	IR
Chr3	11201680	11201581	NA	NA	-	IR
Chr2	1578923	1578828	NA	NA	-	IR
Chr2	35668833	35668756	NA	NA	-	IR
Chr12	23052676	23052780	NA	NA	+	IR
Chr10	4762312	4762498	NA	NA	+	IR
Chr12	25912885	25911886	NA	NA	-	IR
Chr9	5835713	5837188	NA	NA	+	IR
Chr4	28079703	28080932	NA	NA	+	IR
Chr7	24313547	24312429	NA	NA	-	IR
Chr2	34511721	34511629	NA	NA	-	IR
Chr2	35564255	35564655	NA	NA	+	IR
Chr1	34166054	34165522	NA	NA	-	IR
Chr1	7038795	7039447	NA	NA	+	IR
Chr5	26594802	26594889	NA	NA	+	IR
Chr4	19935600	19935688	NA	NA	+	IR
Chr9	15409059	15408931	NA	NA	-	IR
Chr1	39361387	39360834	NA	NA	-	IR
Chr2	27963661	27964051	NA	NA	+	IR
Chr8	24009140	24009246	NA	NA	+	IR
Chr4	31694986	31695147	NA	NA	+	IR
Chr5	19778039	19778132	NA	NA	+	IR
Chr5	16515398	16515631	NA	NA	+	IR
Chr2	27670291	27669444	NA	NA	-	IR
Chr1	37007154	37007083	NA	NA	-	IR
Chr9	20888067	20887763	NA	NA	-	IR
Chr4	31822543	31822649	NA	NA	+	IR
Chr7	5932723	5934461	NA	NA	+	IR
Chr4	22390062	22389980	NA	NA	-	IR
Chr8	20213583	20213746	NA	NA	+	IR
Chr12	3327493	3327177	NA	NA	-	IR
Chr4	18539390	18539829	NA	NA	+	IR
Chr4	33167702	33168132	NA	NA	+	IR
Chr4	9952361	9951814	NA	NA	-	IR
Chr3	9309574	9310208	NA	NA	+	IR
Chr1	42235535	42235440	NA	NA	-	IR
Chr7	29617185	29617279	NA	NA	+	IR
Chr5	1001662	1001101	NA	NA	-	IR
Chr11	2517672	2517762	NA	NA	+	IR
Chr6	27970195	27971299	NA	NA	+	IR
Chr7	29632053	29632149	NA	NA	+	IR
Chr7	17507973	17507893	NA	NA	-	IR
Chr1	40258264	40258024	NA	NA	-	IR
Chr8	26072845	26072733	NA	NA	-	IR
Chr7	28470369	28470302	NA	NA	-	IR
Chr3	35443528	35443273	NA	NA	-	IR
Chr3	6538060	6539292	NA	NA	+	IR
Chr6	15719501	15718793	NA	NA	-	IR
Chr2	35180287	35180207	NA	NA	-	IR
Chr2	28900791	28899881	NA	NA	-	IR
Chr3	31473940	31473144	NA	NA	-	IR
Chr3	17706448	17706364	NA	NA	-	IR
Chr8	17645225	17645377	NA	NA	+	IR
Chr10	19690336	19690631	NA	NA	+	IR
Chr5	19365659	19365280	NA	NA	-	IR
Chr1	19884700	19884781	NA	NA	+	IR
Chr10	20414550	20413950	NA	NA	-	IR
Chr5	23116492	23115910	NA	NA	-	IR
Chr1	19468277	19468413	NA	NA	+	IR
Chr9	16964567	16965029	NA	NA	+	IR
Chr2	25734421	25734495	NA	NA	+	IR
Chr1	41822813	41822715	NA	NA	-	IR
Chr10	5541184	5541100	NA	NA	-	IR
Chr8	3173397	3173502	NA	NA	+	IR
Chr2	963900	963970	NA	NA	+	IR
Chr3	5856795	5856983	NA	NA	+	IR
Chr6	15657412	15657994	NA	NA	+	IR
Chr1	34308275	34307772	NA	NA	-	IR
Chr6	24816294	24816199	NA	NA	-	IR
Chr5	2220140	2220015	NA	NA	-	IR
Chr7	27637285	27637369	NA	NA	+	IR
Chr1	6895170	6895238	NA	NA	+	IR
Chr8	20762927	20762377	NA	NA	-	IR
Chr10	15632556	15632468	NA	NA	-	IR
